tag3	tag1	script	region	source
aar	aa	Latn		cldr
abk	ab	Cyrl		cldr
abq		Cyrl		cldr
abr		Latn		cldr
ace		Latn		cldr
ach		Latn		cldr
ada		Latn		cldr
ady		Cyrl		cldr
aeb		Arab		cldr
afr	af	Latn		cldr
agq		Latn		cldr
aii		Syrc		cldr
aka	ak	Latn		cldr
akz		Latn		cldr
ale		Latn		cldr
aln		Latn		cldr
alt		Cyrl		cldr
amh	am	Ethi		cldr
amo		Latn		cldr
anp		Deva		cldr
aoz		Latn		cldr
apu		Latn		giellalt
ara	ar	Arab		cldr
arg	an	Latn		cldr
arn		Latn		cldr
aro		Latn		cldr
arp		Latn		cldr
arq		Arab		cldr
ars		Arab		cldr
ary		Arab		cldr
arz		Arab		cldr
asa		Latn		cldr
asm	as	Beng		cldr
ast		Latn		cldr
atj		Latn		cldr
ava	av	Cyrl		cldr
awa		Deva		cldr
aym	ay	Latn		cldr
aze	az	Latn		cldr
bak	ba	Cyrl		cldr
bal		Arab		cldr
bam	bm	Latn		cldr
ban		Latn		cldr
bap		Deva		cldr
bar		Latn		cldr
bas		Latn		cldr
bax		Bamu		cldr
bbc		Latn		cldr
bbj		Latn		cldr
bci		Latn		cldr
bej		Arab		cldr
bel	be	Cyrl		cldr
bem		Latn		cldr
ben	bn	Beng		cldr
bew		Latn		cldr
bez		Latn		cldr
bfd		Latn		cldr
bfq		Taml		cldr
bft		Arab		cldr
bfy		Deva		cldr
bgc		Deva		cldr
bgn		Arab		cldr
bgx		Grek		cldr
bhb		Deva		cldr
bhi		Deva		cldr
bho		Deva		cldr
bik		Latn		cldr
bin		Latn		cldr
bis	bi	Latn		cldr
bjj		Deva		cldr
bjn		Latn		cldr
bkm		Latn		cldr
bku		Latn		cldr
bla		Cans		giellalt
blt		Tavt		cldr
bmq		Latn		cldr
bod	bo	Tibt		cldr
bos	bs	Latn		cldr
bpy		Beng		cldr
bqi		Arab		cldr
bqv		Latn		cldr
bra		Deva		cldr
bre	br	Latn		cldr
brh		Arab		cldr
brx		Deva		cldr
bss		Latn		cldr
bto		Latn		cldr
btv		Deva		cldr
bua		Cyrl		cldr
buc		Latn		cldr
bug		Latn		cldr
bul	bg	Cyrl		cldr
bum		Latn		cldr
bvb		Latn		cldr
bxr		Cyrl		giellalt
byn		Ethi		cldr
byv		Latn		cldr
bze		Latn		cldr
bzx		Latn		cldr
cad		Latn		cldr
car		Latn		cldr
cat	ca	Latn		cldr
cay		Latn		cldr
cch		Latn		cldr
ccp		Cakm		cldr
ceb		Latn		cldr
ces	cs	Latn		cldr
cgg		Latn		cldr
cha	ch	Latn		cldr
che	ce	Cyrl		cldr
chk		Latn		cldr
chm		Cyrl		cldr
cho		Latn		cldr
chp		Latn		cldr
chr		Cher		cldr
chv	cv	Cyrl		cldr
chy		Latn		cldr
cic		Latn		cldr
ciw		Latn		giellalt
cja		Arab		cldr
cjm		Cham		cldr
cjs		Cyrl		cldr
ckb		Arab		cldr
ckt		Cyrl		cldr
cor	kw	Latn		cldr
cos	co	Latn		cldr
cps		Latn		cldr
cre	cr	Latn		cldr
crh		Cyrl		cldr
crj		Latn		giellalt
crk		Latn		giellalt
crl		Latn		cldr
crm		Cans		cldr
crs		Latn		cldr
csw		Cans		cldr
ctd		Latn		cldr
cym	cy	Latn		cldr
dak		Latn		cldr
dan	da	Latn		cldr
dar		Cyrl		cldr
dav		Latn		cldr
dcc		Arab		cldr
del		Latn		cldr
den		Latn		cldr
deu	de	Latn		cldr
dgr		Latn		cldr
din		Latn		cldr
div	dv	Thaa		cldr
dje		Latn		cldr
dng		Cyrl		cldr
dnj		Latn		cldr
doi		Arab		cldr
dsb		Latn		cldr
dtm		Latn		cldr
dtp		Latn		cldr
dty		Deva		cldr
dua		Latn		cldr
dyo		Latn		cldr
dyu		Latn		cldr
dzo	dz	Tibt		cldr
ebu		Latn		cldr
efi		Latn		cldr
egl		Latn		cldr
eka		Latn		cldr
eky		Kali		cldr
ell	el	Grek		cldr
eng	en	Latn		cldr
epo	eo	Latn		cldr
ess		Latn		giellalt
est	et	Latn		cldr
esu		Latn		cldr
eus	eu	Latn		cldr
evn		Cyrl		cldr
ewe	ee	Latn		cldr
ewo		Latn		cldr
ext		Latn		cldr
fan		Latn		cldr
fao	fo	Latn		cldr
fas	fa	Arab		cldr
ffm		Latn		cldr
fia		Arab		cldr
fij	fj	Latn		cldr
fil		Latn		cldr
fin	fi	Latn		cldr
fit		Latn		cldr
fkv		Latn		giellalt
fon		Latn		cldr
fra	fr	Latn		cldr
frc		Latn		cldr
frp		Latn		cldr
frr		Latn		cldr
frs		Latn		cldr
fry	fy	Latn		cldr
fud		Latn		cldr
ful	ff	Latn		cldr
fuq		Latn		cldr
fur		Latn		cldr
fuv		Latn		cldr
fvr		Latn		cldr
gaa		Latn		cldr
gag		Latn		cldr
gan		Hans		cldr
gay		Latn		cldr
gba		Latn		cldr
gbm		Deva		cldr
gbz		Arab		cldr
gcr		Latn		cldr
gil		Latn		cldr
gjk		Arab		cldr
gju		Arab		cldr
gla	gd	Latn		cldr
gld		Cyrl		cldr
gle	ga	Latn		cldr
glg	gl	Latn		cldr
glk		Arab		cldr
glv	gv	Latn		cldr
gom		Deva		cldr
gon		Deva		cldr
gor		Latn		cldr
gos		Latn		cldr
grb		Latn		cldr
grn	gn	Latn		cldr
grt		Beng		cldr
gsw		Latn		cldr
gub		Latn		cldr
guc		Latn		cldr
guj	gu	Gujr		cldr
gur		Latn		cldr
guz		Latn		cldr
gvr		Deva		cldr
gwi		Latn		cldr
hai		Latn		cldr
hak		Hans		cldr
hat	ht	Latn		cldr
hau	ha	Latn		cldr
haw		Latn		cldr
haz		Arab		cldr
hdn		Latn		giellalt
heb	he	Hebr		cldr
her	hz	Latn		cldr
hif		Deva		cldr
hil		Latn		cldr
hin	hi	Deva		cldr
hmd		Plrd		cldr
hmn		Latn		cldr
hmo	ho	Latn		cldr
hnd		Arab		cldr
hne		Deva		cldr
hnj		Laoo		cldr
hnn		Latn		cldr
hno		Arab		cldr
hoc		Deva		cldr
hoj		Deva		cldr
hop		Latn		cldr
hrv	hr	Latn		cldr
hsb		Latn		cldr
hsn		Hans		cldr
hun	hu	Latn		cldr
hup		Latn		cldr
hye	hy	Armn		cldr
iba		Latn		cldr
ibb		Latn		cldr
ibo	ig	Latn		cldr
ife		Latn		cldr
iii	ii	Yiii		cldr
ikt		Latn		cldr
iku	iu	Latn		cldr
ilo		Latn		cldr
ind	id	Latn		cldr
inh		Cyrl		cldr
ipk	ik	Latn		cldr
isl	is	Latn		cldr
ita	it	Latn		cldr
izh		Latn		cldr
jam		Latn		cldr
jav	jv	Latn		cldr
jgo		Latn		cldr
jmc		Latn		cldr
jml		Deva		cldr
jpn	ja	Jpan		cldr
jpr		Hebr		cldr
jrb		Hebr		cldr
kaa		Cyrl		cldr
kab		Latn		cldr
kac		Latn		cldr
kaj		Latn		cldr
kal	kl	Latn		cldr
kam		Latn		cldr
kan	kn	Knda		cldr
kao		Latn		cldr
kas	ks	Deva		cldr
kat	ka	Geor		cldr
kau	kr	Latn		cldr
kaz	kk	Cyrl		cldr
kbd		Cyrl		cldr
kca		Cyrl		cldr
kcg		Latn		cldr
kck		Latn		cldr
kde		Latn		cldr
kdt		Thai		cldr
kea		Latn		cldr
kek		Latn		giellalt
kfo		Latn		cldr
kfr		Deva		cldr
kfy		Deva		cldr
kge		Latn		cldr
kgp		Latn		cldr
kha		Latn		cldr
khb		Talu		cldr
khk		Cyrl		giellalt
khm	km	Khmr		cldr
khn		Deva		cldr
khq		Latn		cldr
kht		Mymr		cldr
khw		Arab		cldr
kik	ki	Latn		cldr
kin	rw	Latn		cldr
kio		Latn		giellalt
kir	ky	Cyrl		cldr
kiu		Latn		cldr
kjg		Laoo		cldr
kjh		Cyrl		cldr
kkj		Latn		cldr
kln		Latn		cldr
kmb		Latn		cldr
koi		Cyrl		cldr
kok		Deva		cldr
kom	kv	Cyrl		cldr
kon	kg	Latn		cldr
kor	ko	Kore		cldr
kos		Latn		cldr
kpe		Latn		cldr
kpv		Cyrl		giellalt
kpy		Cyrl		cldr
krc		Cyrl		cldr
kri		Latn		cldr
krj		Latn		cldr
krl		Latn		cldr
kru		Deva		cldr
ksb		Latn		cldr
ksf		Latn		cldr
ksh		Latn		cldr
kua	kj	Latn		cldr
kum		Cyrl		cldr
kut		Latn		cldr
kvr		Latn		cldr
kvx		Arab		cldr
kxm		Thai		cldr
kxp		Arab		cldr
kyu		Kali		cldr
lad		Hebr		cldr
lag		Latn		cldr
lah		Arab		cldr
laj		Latn		cldr
lam		Latn		cldr
lao	lo	Laoo		cldr
lat	la	Latn		giellalt
lav	lv	Latn		cldr
lbe		Cyrl		cldr
lbw		Latn		cldr
lcp		Thai		cldr
lep		Lepc		cldr
lez		Cyrl		cldr
lij		Latn		cldr
lim	li	Latn		cldr
lin	ln	Latn		cldr
lis		Lisu		cldr
lit	lt	Latn		cldr
liv		Latn		giellalt
ljp		Latn		cldr
lki		Arab		cldr
lkt		Latn		cldr
lmn		Telu		cldr
lmo		Latn		cldr
lol		Latn		cldr
loz		Latn		cldr
lrc		Arab		cldr
ltg		Latn		cldr
ltz	lb	Latn		cldr
lua		Latn		cldr
lub	lu	Latn		cldr
lug	lg	Latn		cldr
lun		Latn		cldr
luo		Latn		cldr
lus		Beng		cldr
lut		Latn		giellalt
luy		Latn		cldr
luz		Arab		cldr
lwl		Thai		cldr
mad		Latn		cldr
maf		Latn		cldr
mag		Deva		cldr
mah	mh	Latn		cldr
mai		Deva		cldr
mak		Latn		cldr
mal	ml	Mlym		cldr
man		Nkoo		cldr
mar	mr	Deva		cldr
mas		Latn		cldr
maz		Latn		cldr
mdf		Cyrl		cldr
mdh		Latn		cldr
mdr		Latn		cldr
mdt		Latn		cldr
men		Latn		cldr
mer		Latn		cldr
