tag3	tag1	script	region	lcid
afr	af			1078
afr	af		ZA	1078
amh	am			1118
amh	am		ET	1118
ara	ar			1025
ara	ar		AE	14337
ara	ar		BH	15361
ara	ar		DZ	5121
ara	ar		EG	3073
ara	ar		IQ	2049
ara	ar		JO	11265
ara	ar		KW	13313
ara	ar		LB	12289
ara	ar		LY	4097
ara	ar		MA	6145
ara	ar		OM	8193
ara	ar		QA	16385
ara	ar		SA	1025
ara	ar		SY	10241
ara	ar		TN	7169
ara	ar		YE	9217
arn				1146
arn			CL	1146
asm	as			1101
asm	as		IN	1101
aze	az			1068
aze	az	Cyrl		2092
aze	az	Cyrl	AZ	2092
aze	az	Latn		1068
aze	az	Latn	AZ	1068
bak	ba			1133
bak	ba		RU	1133
bel	be			1059
bel	be		BY	1059
ben	bn			2117
ben	bn		BD	2117
ben	bn		IN	1093
bin				1126
bin			NG	1126
bod	bo			1105
bod	bo		CN	1105
bos	bs			5146
bos	bs	Cyrl		8218
bos	bs	Cyrl	BA	8218
bos	bs	Latn		5146
bos	bs	Latn	BA	5146
bre	br			1150
bre	br		FR	1150
bul	bg			1026
bul	bg		BG	1026
cat	ca			1027
cat	ca		ES	1027
cat	ca		ES	2051
ces	cs			1029
ces	cs		CZ	1029
chr				1116
chr		Cher		1116
chr		Cher	US	1116
cos	co			1155
cos	co		FR	1155
cym	cy			1106
cym	cy		GB	1106
dan	da			1030
dan	da		DK	1030
deu	de			1031
deu	de		AT	3079
deu	de		CH	2055
deu	de		DE	1031
deu	de		LI	5127
deu	de		LU	4103
div	dv			1125
div	dv		MV	1125
dsb				2094
dsb			DE	2094
dzo	dz			3153
dzo	dz		BT	3153
ell	el			1032
ell	el		GR	1032
eng	en			1033
eng	en		029	9225
eng	en		AU	3081
eng	en		BZ	10249
eng	en		CA	4105
eng	en		GB	2057
eng	en		HK	15369
eng	en		ID	14345
eng	en		IE	6153
eng	en		IN	16393
eng	en		JM	8201
eng	en		MY	17417
eng	en		NZ	5129
eng	en		PH	13321
eng	en		SG	18441
eng	en		TT	11273
eng	en		US	1033
eng	en		ZA	7177
eng	en		ZW	12297
est	et			1061
est	et		EE	1061
eus	eu			1069
eus	eu		ES	1069
fao	fo			1080
fao	fo		FO	1080
fas	fa			1065
fas	fa		IR	1065
fil				1124
fil			PH	1124
fin	fi			1035
fin	fi		FI	1035
fra	fr			1036
fra	fr		029	7180
fra	fr		BE	2060
fra	fr		CA	3084
fra	fr		CD	9228
fra	fr		CH	4108
fra	fr		CI	12300
fra	fr		CM	11276
fra	fr		FR	1036
fra	fr		HT	15372
fra	fr		LU	5132
fra	fr		MA	14348
fra	fr		MC	6156
fra	fr		ML	13324
fra	fr		RE	8204
fra	fr		SN	10252
fry	fy			1122
fry	fy		NL	1122
ful	ff			2151
ful	ff		NG	1127
ful	ff	Latn		2151
ful	ff	Latn	SN	2151
gla	gd			1169
gla	gd		GB	1169
gle	ga			2108
gle	ga		IE	2108
glg	gl			1110
glg	gl		ES	1110
grn	gn			1140
grn	gn		PY	1140
gsw			FR	1156
guj	gu			1095
guj	gu		IN	1095
hau	ha			1128
hau	ha	Latn		1128
hau	ha	Latn	NG	1128
haw				1141
haw			US	1141
heb	he			1037
heb	he		IL	1037
hin	hi			1081
hin	hi		IN	1081
hrv	hr			1050
hrv	hr		BA	4122
hrv	hr		HR	1050
hsb				1070
hsb			DE	1070
hun	hu			1038
hun	hu		HU	1038
hye	hy			1067
hye	hy		AM	1067
ibb				1129
ibb			NG	1129
ibo	ig			1136
ibo	ig		NG	1136
iii	ii			1144
iii	ii		CN	1144
iku	iu			2141
iku	iu	Cans		1117
iku	iu	Cans	CA	1117
iku	iu	Latn		2141
iku	iu	Latn	CA	2141
ind	id			1057
ind	id		ID	1057
isl	is			1039
isl	is		IS	1039
ita	it			1040
ita	it		CH	2064
ita	it		IT	1040
jpn	ja			1041
jpn	ja		JP	1041
kal	kl			1135
kal	kl		GL	1135
kan	kn			1099
kan	kn		IN	1099
kas	ks	Deva		2144
kas	ks	Deva	IN	2144
kat	ka			1079
kat	ka		GE	1079
kau	kr			1137
kau	kr		NG	1137
kaz	kk			1087
kaz	kk		KZ	1087
khm	km			1107
khm	km		KH	1107
kin	rw			1159
kin	rw		RW	1159
kir	ky			1088
kir	ky		KG	1088
kok				1111
kok			IN	1111
kor	ko			1042
kor	ko		KR	1042
kur	ku			1170
kur	ku	Arab		1170
kur	ku	Arab	IQ	1170
lao	lo			1108
lao	lo		LA	1108
lat	la			1142
lat	la		001	1142
lav	lv			1062
lav	lv		LV	1062
lit	lt			1063
lit	lt		LT	1063
ltz	lb			1134
ltz	lb		LU	1134
mal	ml			1100
mal	ml		IN	1100
mar	mr			1102
mar	mr		IN	1102
mkd	mk			1071
mkd	mk		MK	1071
mlt	mt			1082
mlt	mt		MT	1082
mni				1112
mni			IN	1112
moh				1148
moh			CA	1148
mon	mn			1104
mon	mn		MN	1104
mon	mn	Cyrl		1104
mon	mn	Mong		2128
mon	mn	Mong	CN	2128
mon	mn	Mong	MN	3152
mri	mi			1153
mri	mi		NZ	1153
msa	ms			1086
msa	ms		BN	2110
msa	ms		MY	1086
